OBJECTID,CREEK_NAME,MUNI,COUNTY,WATERSHED,SUBSHED,LABEL,SEGMENT_ID,REACH_ID,INF1,INF2,INF3,INF4,INF_ID,SOURCE,GNIS_NAME,GNIS_ID,MON_ID,RESTORATION_ID,ORDER_SHREVE,ORDER_STRAHLER,UREACHID,FACILITYID,EDITOR,EDIT_DATE,NOTES,RIVERMILE,Shape__Area,Shape__Length
27,"Trewellyn Creek, unnamed trib (D)",Lower Gwynedd,Montgomery,Wissahickon Creek,Trewellyn Creek,,WSTWC03,WSTWC02,Bridged,,,,WSbri280,,,,WSTC011,,,,,,,, ,0,35.3359375,30.3999169216468
28,"Trewellyn Creek, unnamed trib (D)",Lower Gwynedd,Montgomery,Wissahickon Creek,Trewellyn Creek,,WSTWC03,WSTWC02,,,,,,,,,WSTC011,,,,,,,, ,0,1582.1015625,999.174981779434
29,Trewellyn Creek,Lower Gwynedd,Montgomery,Wissahickon Creek,Trewellyn Creek,,WSTW11,WSTW12,Bridged,,,,WSbri266,,,,WSTC011,,,,,,,, ,0,210.0859375,66.2348056955071
30,"Trewellyn Creek, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,Trewellyn Creek,,U,U,Impoundment,,,Connected to Stream Network,,,,,WSTC011,,,,,,,, ,0,6883.18359375,408.570085512825
31,"Willow Run East, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,,,,,,,,,WSWR062,,,,,,,, ,0,280.328125,305.224442409243
32,Trewellyn Creek,Lower Gwynedd,Montgomery,Wissahickon Creek,Trewellyn Creek,,WSTW13,WSTW14,Bridged,,,,WSbri267,,,,WSTC011,,,,,,,, ,0,109.88671875,43.7872047225247
33,"Willow Run East, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,,,WSWE01,WSWE02,Bridged,,,,WSbri500,,,,WSWR062,,,,,,,, ,0,47.171875,40.2358947733433
34,"Trewellyn Creek, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,Trewellyn Creek,,U,U,,,,,,,,,WSTC011,,,,,,,, ,0,653.2109375,550.147771630113
35,"Trewellyn Creek, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,Trewellyn Creek,,U,U,Culverted,,,,,,,,WSTC011,,,,,,,, ,0,45.515625,30.3897133063735
36,"Willow Run East, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,,,,,,,,,WSWR062,,,,,,,, ,0,37.12109375,99.1863112052457
37,"Willow Run East, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,Impoundment,,,,,,,,WSWR062,,,,,,,, ,0,1230.734375,166.173272645823
